ampl: display Y;
Y [M1,*,Buraki,*] (tr)
:   S1 S10    S2   S3  S4  S5    S6    S7  S8  S9    :=
14   0   0   2.1    0   0   0    3.29   0   0   0
15   0   0   2.5    0   0   0    3.4    0   0   0
16   0   0   3.16   0   0   0    3.48   0   0   0
17   0   0   0      0   0   0    4.73   0   0   0
18   0   0   0      0   0   0    5.89   0   0   0
19   0   0   0.16   0   0   0    6.79   0   0   0
20   0   0   3.25   0   0   0    9.45   0   0   0
21   0   0   4.39   0   0   0    0      0   0   0
22   0   0   3.7    0   0   0    5.65   0   0   0
23   0   0   4.38   0   0   0    5.29   0   0   0
24   0   0   4.14   0   0   0   12.87   0   0   0
25   0   0   3.94   0   0   0    0      0   0   0
26   0   0   4.13   0   0   0   12.2    0   0   0
27   0   0   3.76   0   0   0   10.6    0   0   0
28   0   0   3.4    0   0   0    3.03   0   0   0
29   0   0   4.73   0   0   0    0      0   0   0
30   0   0   3.63   0   0   0    5.31   0   0   0
31   0   0   3.81   0   0   0    6.4    0   0   0
32   0   0   3.82   0   0   0    5.36   0   0   0
33   0   0   3.64   0   0   0    4.65   0   0   0
34   0   0   3.16   0   0   0    4.41   0   0   0
35   0   0   2.85   0   0   0    9.55   0   0   0
36   0   0   3.14   0   0   0    2.8    0   0   0
37   0   0   3.06   0   0   0    1.65   0   0   0
38   0   0   2.77   0   0   0    8.82   0   0   0
39   0   0   4.43   0   0   0    8.01   0   0   0
40   0   0   7.15   0   0   0    0.72   0   0   0
41   0   0   0.86   0   0   0    0      0   0   0
42   0   0   0      0   0   0    5.26   0   0   0
43   0   0   0      0   0   0    0.19   0   0   0
44   0   0   0      0   0   0    0      0   0   0
45   0   0   0      0   0   0    0      0   0   0
46   0   0   0      0   0   0    0      0   0   0
47   0   0   0      0   0   0    0      0   0   0
48   0   0   0      0   0   0    0      0   0   0
49   0   0   0      0   0   0    0      0   0   0
50   0   0   0      0   0   0    0      0   0   0
51   0   0   0      0   0   0    0      0   0   0
52   0   0   0.42   0   0   0    0.64   0   0   0

 [M2,*,Buraki,*] (tr)
:     S1    S10     S2      S3     S4     S5   S6  S7  S8    S9     :=
1    0.84   0.48    0.78   0.61   1.1    0.54   0   0   0   0.42
2    0.44   0.11    0.42   0.29   0      0.16   0   0   0   0.1
3    0.44   0.11    0.42   0.29   0      0.16   0   0   0   0.1
4    0.44   0.11    0.42   0.29   0      0.16   0   0   0   0.1
5    0.44   0.11    0.42   0.29   0      0.16   0   0   0   0.1
6    0.58   0.16    0.59   0.43   0      0.18   0   0   0   0.1
7    0.86   0.2     0.84   0.43   0      0.27   0   0   0   0.14
8    0.98   0.27    0.75   0.72   0      0.29   0   0   0   0.19
9    1.22   0.25    0.94   0.75   0      0.35   0   0   0   0.26
10   1.44   0.4     6.8    0.79   0      0.56   0   0   0   0.34
11   1.42   0.47    0      6.91   0      0.52   0   0   0   0.4
12   1.76   0.4     0      0      0      0.81   0   0   0   0.39
13   2.61   0.58    0      3.4    0      0.86   0   0   0   0.52
14   9.98   0.73    2.25   3.3    0      0.89   0   0   0   4.59
15   5.07   0.77    2.91   1.78   0      1.13   0   0   0   2.6
16   0      0.67   11.84   1.9    0      1.05   0   0   0   0.08
17   0      0.68    2.93   2.36   2.76   2.27   0   0   0   0
18   0      0.82    1.34   1.05   3.06   4.74   0   0   0   0
19   8.36   1.07    0      0      4.19   6.45   0   0   0   0
20   7.01   0.79    0      3.28   3.54   1.6    0   0   0   0
21   4.22   0.81    3.99   2.72   3.37   1.69   0   0   0   0
22   4.09   1.13    0      3.14   3.62   1.1    0   0   0   0
23   5.15   1.15    0      2.86   4.87   0      0   0   0   0
24   3.83   0.95    0      3.33   4.24   0      0   0   0   3.92
25   4.42   1.24    0      3.7    5.04   0      0   0   0   1.7
26   4.19   1.25    0      3.23   3.57   0      0   0   0   0
27   5.09   3.8     0      2.84   4.36   0      0   0   0   0
28   5.15   0       0      2.94   4.07   0      0   0   0   0
29   4.51   0       0      0      3.39   1.26   0   0   0   0
30   4.33   0       0      3.16   0      1.75   0   0   0   4.69
31   3.61   5.44    0      3.47   0      1.45   0   0   0   0
32   4.06   0       0      2.63   0      1.12   0   0   0   0
33   3.47   0       0      2.6    0      1.31   0   0   0   0
34   0      0       0      1.32   6.42   1.34   0   0   0   0
35   0      0       0      0      5.13   1.32   0   0   0   0
